
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.1.20:55796     192.168.56.235:80      SYN_SENT
  TCP    192.168.1.20:55797     192.168.56.236:80      SYN_SENT
  TCP    192.168.1.20:55798     192.168.56.237:80      SYN_SENT
  TCP    192.168.1.20:55799     192.168.56.238:80      SYN_SENT
  TCP    192.168.1.20:55800     192.168.56.239:80      SYN_SENT
  TCP    192.168.1.20:55801     192.168.56.240:80      SYN_SENT
  TCP    192.168.1.20:55802     192.168.56.241:80      SYN_SENT
  TCP    192.168.1.20:55803     192.168.56.242:80      SYN_SENT
  TCP    192.168.1.20:55804     192.168.56.243:80      SYN_SENT
  TCP    192.168.1.20:55805     192.168.56.244:80      SYN_SENT
  TCP    192.168.1.20:55806     192.168.56.245:80      SYN_SENT
  TCP    192.168.1.20:55807     192.168.56.246:80      SYN_SENT
  TCP    192.168.1.20:55808     192.168.56.247:80      SYN_SENT
  TCP    192.168.1.20:55809     192.168.56.248:80      SYN_SENT
  TCP    192.168.1.20:55810     192.168.56.249:80      SYN_SENT
  TCP    192.168.1.20:55811     192.168.56.250:80      SYN_SENT
  TCP    192.168.1.20:55812     192.168.56.251:80      SYN_SENT
  TCP    192.168.1.20:55813     192.168.56.252:80      SYN_SENT
  TCP    192.168.1.20:55814     192.168.56.253:80      SYN_SENT
  TCP    192.168.1.20:55815     192.168.1.2:80         SYN_SENT
  TCP    192.168.1.20:55816     192.168.1.3:80         SYN_SENT
  TCP    192.168.1.20:55817     192.168.1.4:80         SYN_SENT
  TCP    192.168.1.20:55818     192.168.1.5:80         SYN_SENT
  TCP    192.168.1.20:55819     192.168.1.6:80         SYN_SENT
  TCP    192.168.1.20:55820     192.168.1.7:80         SYN_SENT
  TCP    192.168.1.20:55821     192.168.1.8:80         SYN_SENT
  TCP    192.168.1.20:55822     192.168.1.9:80         SYN_SENT
  TCP    192.168.1.20:55823     192.168.1.10:80        SYN_SENT
  TCP    192.168.1.20:55824     192.168.1.11:80        SYN_SENT
  TCP    192.168.1.20:55825     192.168.1.12:80        SYN_SENT
  TCP    192.168.1.20:55826     192.168.1.13:80        SYN_SENT
  TCP    192.168.1.20:55827     192.168.1.14:80        SYN_SENT
  TCP    192.168.1.20:55828     192.168.1.15:80        SYN_SENT
  TCP    192.168.1.20:55829     192.168.1.16:80        SYN_SENT
  TCP    192.168.1.20:55830     192.168.1.17:80        SYN_SENT
  TCP    192.168.1.20:55831     192.168.1.18:80        SYN_SENT
  TCP    192.168.1.20:55832     192.168.1.19:80        SYN_SENT
  TCP    192.168.1.20:55833     192.168.1.20:80        SYN_SENT
  TCP    192.168.1.20:55834     192.168.1.21:80        SYN_SENT
  TCP    192.168.1.20:55835     192.168.1.22:80        SYN_SENT
  TCP    192.168.1.20:55836     192.168.1.23:80        SYN_SENT
  TCP    192.168.1.20:55837     192.168.1.24:80        SYN_SENT
  TCP    192.168.1.20:55838     192.168.1.25:80        SYN_SENT
  TCP    192.168.1.20:55839     192.168.1.26:80        SYN_SENT
  TCP    192.168.1.20:55840     192.168.1.27:80        SYN_SENT
  TCP    192.168.1.20:55841     192.168.1.28:80        SYN_SENT
  TCP    192.168.1.20:55842     192.168.1.29:80        SYN_SENT
  TCP    192.168.1.20:55843     192.168.1.30:80        SYN_SENT
  TCP    192.168.1.20:55844     192.168.1.31:80        SYN_SENT
  TCP    192.168.1.20:55845     192.168.1.32:80        SYN_SENT
  TCP    192.168.1.20:55846     192.168.1.33:80        SYN_SENT
  TCP    192.168.1.20:55847     192.168.1.34:80        SYN_SENT
  TCP    192.168.1.20:55848     192.168.1.35:80        SYN_SENT
  TCP    192.168.1.20:55849     192.168.1.36:80        SYN_SENT
  TCP    192.168.1.20:55850     192.168.1.37:80        SYN_SENT
